teamOneWon,teamTwoWon,map1Team1SideBothPlayer1PlusMinus,map1Team1SideBothPlayer1Rating,map1Team1SideBothPlayer2PlusMinus,map1Team1SideBothPlayer2Rating,map1Team1SideBothPlayer3PlusMinus,map1Team1SideBothPlayer3Rating,map1Team1SideBothPlayer4PlusMinus,map1Team1SideBothPlayer4Rating,map1Team1SideBothPlayer5PlusMinus,map1Team1SideBothPlayer5Rating,map1Team2SideBothPlayer1PlusMinus,map1Team2SideBothPlayer1Rating,map1Team2SideBothPlayer2PlusMinus,map1Team2SideBothPlayer2Rating,map1Team2SideBothPlayer3PlusMinus,map1Team2SideBothPlayer3Rating,map1Team2SideBothPlayer4PlusMinus,map1Team2SideBothPlayer4Rating,map1Team2SideBothPlayer5PlusMinus,map1Team2SideBothPlayer5Rating,map2Team1SideBothPlayer1PlusMinus,map2Team1SideBothPlayer1Rating,map2Team1SideBothPlayer2PlusMinus,map2Team1SideBothPlayer2Rating,map2Team1SideBothPlayer3PlusMinus,map2Team1SideBothPlayer3Rating,map2Team1SideBothPlayer4PlusMinus,map2Team1SideBothPlayer4Rating,map2Team1SideBothPlayer5PlusMinus,map2Team1SideBothPlayer5Rating,map2Team2SideBothPlayer1PlusMinus,map2Team2SideBothPlayer1Rating,map2Team2SideBothPlayer2PlusMinus,map2Team2SideBothPlayer2Rating,map2Team2SideBothPlayer3PlusMinus,map2Team2SideBothPlayer3Rating,map2Team2SideBothPlayer4PlusMinus,map2Team2SideBothPlayer4Rating,map2Team2SideBothPlayer5PlusMinus,map2Team2SideBothPlayer5Rating,map3Team1SideBothPlayer1PlusMinus,map3Team1SideBothPlayer1Rating,map3Team1SideBothPlayer2PlusMinus,map3Team1SideBothPlayer2Rating,map3Team1SideBothPlayer3PlusMinus,map3Team1SideBothPlayer3Rating,map3Team1SideBothPlayer4PlusMinus,map3Team1SideBothPlayer4Rating,map3Team1SideBothPlayer5PlusMinus,map3Team1SideBothPlayer5Rating,map3Team2SideBothPlayer1PlusMinus,map3Team2SideBothPlayer1Rating,map3Team2SideBothPlayer2PlusMinus,map3Team2SideBothPlayer2Rating,map3Team2SideBothPlayer3PlusMinus,map3Team2SideBothPlayer3Rating,map3Team2SideBothPlayer4PlusMinus,map3Team2SideBothPlayer4Rating,map3Team2SideBothPlayer5PlusMinus,map3Team2SideBothPlayer5Rating,map4Team1SideBothPlayer1PlusMinus,map4Team1SideBothPlayer1Rating,map4Team1SideBothPlayer2PlusMinus,map4Team1SideBothPlayer2Rating,map4Team1SideBothPlayer3PlusMinus,map4Team1SideBothPlayer3Rating,map4Team1SideBothPlayer4PlusMinus,map4Team1SideBothPlayer4Rating,map4Team1SideBothPlayer5PlusMinus,map4Team1SideBothPlayer5Rating,map4Team2SideBothPlayer1PlusMinus,map4Team2SideBothPlayer1Rating,map4Team2SideBothPlayer2PlusMinus,map4Team2SideBothPlayer2Rating,map4Team2SideBothPlayer3PlusMinus,map4Team2SideBothPlayer3Rating,map4Team2SideBothPlayer4PlusMinus,map4Team2SideBothPlayer4Rating,map4Team2SideBothPlayer5PlusMinus,map4Team2SideBothPlayer5Rating,map5Team1SideBothPlayer1PlusMinus,map5Team1SideBothPlayer1Rating,map5Team1SideBothPlayer2PlusMinus,map5Team1SideBothPlayer2Rating,map5Team1SideBothPlayer3PlusMinus,map5Team1SideBothPlayer3Rating,map5Team1SideBothPlayer4PlusMinus,map5Team1SideBothPlayer4Rating,map5Team1SideBothPlayer5PlusMinus,map5Team1SideBothPlayer5Rating,map5Team2SideBothPlayer1PlusMinus,map5Team2SideBothPlayer1Rating,map5Team2SideBothPlayer2PlusMinus,map5Team2SideBothPlayer2Rating,map5Team2SideBothPlayer3PlusMinus,map5Team2SideBothPlayer3Rating,map5Team2SideBothPlayer4PlusMinus,map5Team2SideBothPlayer4Rating,map5Team2SideBothPlayer5PlusMinus,map5Team2SideBothPlayer5Rating
True,False,9,1.41,1,1.15,4,1.14,0,1.09,-7,0.69,10,1.26,3,1.2,-9,0.88,-3,0.87,-8,0.8,-1,1.26,2,1.21,-2,1.06,-4,0.97,-7,0.58,10,1.63,6,1.28,-2,1.08,-3,0.98,-2,0.91,8,1.4,9,1.36,6,1.25,-3,1.02,-4,0.99,4,1.26,1,1.04,-7,0.75,-7,0.64,-9,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True,False,9,1.65,9,1.62,5,1.52,6,1.51,8,1.49,-6,0.74,-7,0.68,-6,0.67,-10,0.57,-8,0.37,7,1.47,5,1.45,0,1.07,3,1.05,-3,0.99,5,1.25,-1,1.08,-6,0.9,-4,0.9,-7,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True,False,9,1.57,3,1.31,3,1.23,0,1.19,-3,0.92,3,1.15,-1,1.05,-1,1.02,-7,0.66,-6,0.58,-4,0.99,0,0.97,-4,0.82,-3,0.8,-4,0.64,12,2.01,10,1.6,0,1.25,-5,0.88,-3,0.78,12,1.62,2,1.33,3,1.2,0,1.09,4,1.06,-2,1.02,-3,0.98,-4,0.85,-4,0.75,-8,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
False,True,-1,0.94,0,0.89,-6,0.81,-8,0.72,-6,0.65,17,1.95,10,1.89,1,1.08,0,0.97,-7,0.84,0,1.0,-2,0.93,-7,0.91,-3,0.81,-11,0.53,11,1.91,13,1.66,2,1.21,-3,1.07,-1,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True,False,8,1.61,11,1.47,2,1.27,0,1.18,0,1.0,2,1.18,-4,1.05,0,0.86,-5,0.76,-15,0.34,10,1.53,2,1.3,1,1.22,1,1.18,1,1.07,7,1.39,0,1.19,-1,1.07,-7,0.63,-14,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
False,True,4,1.28,2,1.23,-2,0.76,-8,0.76,-12,0.36,7,1.35,2,1.27,4,1.26,2,1.13,1,1.08,-2,0.85,-3,0.79,-7,0.69,-7,0.58,-11,0.46,12,1.87,9,1.65,6,1.46,2,1.25,1,0.92,12,1.69,9,1.47,-7,0.95,-5,0.85,-3,0.78,1,1.19,1,1.12,1,1.03,-3,0.86,-6,0.73,0,1.03,2,1.02,0,0.92,-5,0.78,-7,0.56,6,1.57,3,1.38,1,1.32,1,1.26,-1,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True,False,1,1.06,-4,0.8,-2,0.73,-8,0.5,-11,0.18,8,1.95,7,1.55,7,1.53,6,1.52,-4,0.86,15,1.93,0,1.15,3,1.1,2,1.04,-7,0.84,2,1.26,-3,1.05,-2,1.03,-1,0.84,-10,0.69,15,1.87,2,1.22,-1,1.21,0,1.07,-4,0.85,0,1.06,-1,1.01,0,1.0,-7,0.85,-5,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
False,True,10,1.48,2,1.09,-6,0.89,-6,0.78,-8,0.71,9,1.39,2,1.19,5,1.17,-4,1.07,-6,0.8,6,1.44,5,1.29,3,1.14,0,1.13,-3,0.89,0,1.1,0,1.02,-3,0.89,-4,0.85,-4,0.79,12,1.54,1,1.16,-1,1.09,-6,0.84,-11,0.72,12,1.61,4,1.28,1,1.14,-3,0.84,-10,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True,False,8,1.62,4,1.46,1,1.17,1,1.17,3,1.06,4,1.21,-1,1.14,-6,0.8,-7,0.62,-8,0.56,6,1.68,10,1.22,2,0.96,-5,0.72,-14,0.49,1,1.22,1,1.17,5,1.06,-2,0.95,-4,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True,False,2,1.3,-3,0.84,-4,0.77,-6,0.6,-10,0.24,7,1.86,4,1.42,2,1.41,4,1.32,4,1.14,5,1.65,8,1.62,9,1.57,-3,1.02,-3,1.02,3,1.11,0,0.97,-4,0.84,-8,0.68,-8,0.59,9,1.51,2,1.27,2,1.04,-2,0.88,-7,0.77,3,1.23,4,1.2,-1,1.03,0,1.01,-11,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
